"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-02-13","6.9",",,W",,,"0.0",",,W,2400","0.0",",,W","-8.8","H,,S","-5.5",",,W","-13.8",",,W","  290",",,W","  300",",,W","12.5",",,W","16.5",",,W",,,,,,,,,,,,,"    1",",,W",,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-02-14","4.3",",,W",,,"5.8",",,W,2400","81.0",",,W","-10.4","H,,S","-1.0",",,W","-16.0",",,W","  120",",,W","  320",",,W","9.8",",,W","10.7",",,W","    1",",,W",,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-02-15","9.3",",,W",,,"9.9",",,W,2400","330.0",",,W","-7.1","H,,S","-6.6",",,W","-18.8",",,W","  310",",,W","  280",",,W","14.8",",,W","22.8",",,W","    1",",,W","    1",",,W",,,,,,,,,,,"    1",",,W"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-02-16","8.8",",,W",,,"0.0",",,W,2400","0.0",",,W","-14.2","H,,S","-7.1",",,W","-19.3",",,W","  290",",,W","  300",",,W","13.9",",,W","18.3",",,W",,,,,,,,,,,,,,,"    1",",,W"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-02-17","3.5",",,W",,,"0.5",",,W,2400","15.0",",,W","-9.7","H,,S","-4.9",",,W","-12.1",",,W","  360",",,W","   10",",,W","6.3",",,W","8.1",",,W",,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-02-18","2.4",",,W",,,"0.3",",,W,2400","0.0","T,,W","-4.8","H,,S","-1.6",",,W","-8.2",",,W","  280",",,W","  280",",,W","6.3",",,W","7.6",",,W","    1",",,W",,,,,,,,,,,"    1",",,W",,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-02-19","6.3",",,W",,,"1.5",",,W,2400","61.0",",,W","-3.7","H,,S","-1.0",",,W","-12.1",",,W","  260",",,W","  250",",,W","13.4",",,W","17.9",",,W","    1",",,W",,,,,,,,,,,"    1",",,W","    1",",,W"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-02-20","8.3",",,W",,,"0.0",",,W,2400","0.0",",,W","-11.4","H,,S","-6.6",",,W","-14.9",",,W","  270",",,W","  260",",,W","12.5",",,W","15.7",",,W",,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-02-21","5.0",",,W",,,"4.3",",,W,2400","28.0",",,W","-8.5","H,,S","1.1",",,W","-15.5",",,W","  200",",,W","  210",",,W","11.6",",,W","15.7",",,W","    1",",,W",,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-02-22","2.3",",,W",,,"2.8",",,W,2400","3.0",",,W","0.8","H,,S","3.9",",,W","-2.1",",,W","  280",",,W","  280",",,W","5.8",",,W","7.2",",,W","    1",",,W",,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-02-23","6.5",",,W",,,"0.0",",,W,2400","0.0",",,W","-3.0","H,,S","0.6",",,W","-15.5",",,W","  280",",,W","  280",",,W","11.2",",,W","15.7",",,W",,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-02-24","4.2",",,W",,,"0.0","T,,W,2400","0.0","T,,W","-12.9","H,,S","-7.1",",,W","-16.6",",,W","  190",",,W","  190",",,W","8.9",",,W","10.7",",,W","    1",",,W",,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-02-25","4.8",",,W",,,"1.8",",,W,2400","48.0",",,W","-5.0","H,,S","1.7",",,W","-9.9",",,W","  280",",,W","  270",",,W","9.8",",,W","13.0",",,W","    1",",,W",,,,,,,,,,,"    1",",,W",,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-02-26","4.1",",,W",,,"0.5",",,W,2400","5.0",",,W","-6.0","H,,S","-5.5",",,W","-8.2",",,W","   30",",,W","   30",",,W","8.1",",,W","9.4",",,W","    1",",,W",,,,,,,,,,,"    1",",,W",,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-02-27","3.7",",,W",,,"0.0",",,W,2400","0.0",",,W","-6.5","H,,S","-2.7",",,W","-9.3",",,W","  290",",,W","  330",",,W","6.3",",,W","8.1",",,W",,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-02-28","3.9",",,W",,,"0.0",",,W,2400","0.0",",,W","-6.2","H,,S","-0.5",",,W","-11.0",",,W","  300",",,W","  250",",,W","6.7",",,W","8.9",",,W",,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-03-01","2.7",",,W",,,"4.3",",,W,2400","48.0",",,W","-5.0","H,,S","-1.0",",,W","-11.0",",,W","  210",",,W","  210",",,W","8.9",",,W","10.3",",,W","    1",",,W",,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-03-02","6.4",",,W",,,"0.3",",,W,2400","5.0",",,W","-0.9","H,,S","2.8",",,W","-3.2",",,W","  280",",,W","  280",",,W","13.4",",,W","18.3",",,W","    1",",,W",,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-03-03","4.5",",,W",,,"6.6",",,W,2400","41.0",",,W","-3.3","H,,S","0.6",",,W","-6.6",",,W","  190",",,W","  320",",,W","10.7",",,W","14.3",",,W","    1",",,W",,,,,"    1",",,W",,,"    1",",,W",,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-03-04","5.1",",,W",,,"0.5",",,W,2400","0.0",",,W","2.3","H,,S","6.1",",,W","0.6",",,W","  260",",,W","  260",",,W","9.4",",,W","13.4",",,W","    1",",,W",,,,,,,,,"    1",",,W",,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-03-05","5.3",",,W",,,"0.0","T,,W,2400","0.0","T,,W","0.8","H,,S","3.9",",,W","-7.7",",,W","  320",",,W","  330",",,W","8.9",",,W","12.5",",,W",,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-03-06","4.7",",,W",,,"0.0",",,W,2400","0.0",",,W","-7.9","H,,S","-4.3",",,W","-12.7",",,W","  320",",,W","  310",",,W","10.3",",,W","13.0",",,W",,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-03-07","4.8",",,W",,,"0.0",",,W,2400","0.0",",,W","-3.7","H,,S","3.3",",,W","-8.2",",,W","  220",",,W","  220",",,W","9.4",",,W","11.2",",,W",,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-03-08","3.8",",,W",,,"0.0","T,,W,2400","0.0","T,,W","0.3","H,,S","5.6",",,W","-4.3",",,W","  280",",,W","  300",",,W","11.2",",,W","14.3",",,W",,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-03-09","4.5",",,W",,,"0.0",",,W,2400","0.0",",,W","2.6","H,,S","8.9",",,W","-3.2",",,W","  280",",,W","  270",",,W","11.2",",,W","16.5",",,W",,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-03-10","3.0",",,W",,,"1.5",",,W,2400","0.0",",,W","3.8","H,,S","8.9",",,W","-0.5",",,W","  180",",,W","  170",",,W","7.6",",,W","9.4",",,W","    1",",,W",,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-03-11","5.2",",,W",,,"0.3",",,W,2400","0.0",",,W","7.7","H,,S","13.9",",,W","2.8",",,W","  280",",,W","  280",",,W","11.2",",,W","14.8",",,W","    1",",,W","    1",",,W",,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-03-12","7.6",",,W",,,"0.0",",,W,2400","0.0",",,W","3.9","H,,S","6.1",",,W","-3.8",",,W","  330",",,W","  320",",,W","14.3",",,W","18.3",",,W",,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-03-13","4.7",",,W",,,"0.0",",,W,2400","0.0",",,W","-1.3","H,,S","4.4",",,W","-4.3",",,W","  220",",,W","  210",",,W","8.1",",,W","10.3",",,W",,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-03-14","3.6",",,W",,,"20.3",",,W,2400","0.0",",,W","1.1","H,,S","3.9",",,W","-0.5",",,W","  290",",,W","  320",",,W","6.7",",,W","8.9",",,W","    1",",,W","    1",",,W",,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-03-15","6.2",",,W",,,"6.9",",,W,2400","74.0",",,W","2.2","H,,S","5.0",",,W","-2.7",",,W","  360",",,W","  360",",,W","14.8",",,W","17.9",",,W","    1",",,W","    1",",,W",,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-03-16","3.9",",,W",,,"0.0",",,W,2400","0.0",",,W","0.7","H,,S","7.2",",,W","-3.2",",,W","  320",",,W","  310",",,W","8.1",",,W","11.2",",,W",,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-03-17","6.4",",,W",,,"3.6",",,W,2400","0.0","T,,W","3.9","H,,S","10.6",",,W","-2.1",",,W","  320",",,W","  320",",,W","17.0",",,W","22.8",",,W","    1",",,W",,,,,"    1",",,W",,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-03-18","9.7",",,W",,,"0.0",",,W,2400","0.0",",,W","-2.5","H,,S","-1.0",",,W","-5.5",",,W","  300",",,W","  300",",,W","16.1",",,W","23.3",",,W",,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-03-19","7.0",",,W",,,"0.0",",,W,2400","0.0",",,W","-3.8","H,,S","1.1",",,W","-7.1",",,W","  310",",,W","  320",",,W","13.4",",,W","18.3",",,W",,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-03-20","1.6",",,W",,,"1.3",",,W,2400","13.0",",,W","-2.5","H,,S","0.0",",,W","-4.9",",,W","  210",",,W","   40",",,W","5.4",",,W","11.6",",,W","    1",",,W",,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-03-21","2.9",",,W",,,"2.3",",,W,2400","30.0",",,W","-1.1","H,,S","5.0",",,W","-2.1",",,W","  260",",,W","  270",",,W","9.8",",,W","13.9",",,W","    1",",,W",,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-03-22","8.0",",,W",,,"0.0",",,W,2400","0.0",",,W","0.2","H,,S","3.9",",,W","-6.0",",,W","  290",",,W","  290",",,W","14.8",",,W","21.5",",,W",,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-03-23","6.8",",,W",,,"0.0",",,W,2400","0.0",",,W","-4.4","H,,S","0.6",",,W","-7.7",",,W","  300",",,W","  300",",,W","10.7",",,W","13.9",",,W",,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-03-24","3.4",",,W",,,"0.0",",,W,2400","0.0",",,W","-2.6","H,,S","1.7",",,W","-6.6",",,W","  200",",,W","  220",",,W","5.8",",,W","7.2",",,W",,,,,,,,,,,,,,,,
